pref_drw;neck_drw;preform_weight;neck_weight;body_weight;length;thickness;max_diam;DiametroSottobaga;base_thikness;PartingLine;DiametroPLine;neck_nominal_diam;DIAMETRO_BAGA;DIAMETRO_INTERNO;neck_height;NUMEROPRINCIPI;shape;cycle_time;TON;cavitation;DescrizioneCollo;HEATSET
PN007662_00;N000003_24;28,50;3,20;25,30;124,00;2,80;24,70;28,00;2,24;24,50;27,53;30,00;34,00;25,10;18,50;3;Bell;10,80;500;128;30/25 mm NECK FINISH LIGHT VER. 24;n
PN007072_00;N000114_05;28,50;2,40;26,10;118,10;2,64;26,80;28,00;2,16;28,10;0,00;29,00;32,50;25,10;12,60;3;Bell;12,40;500;128;29/25mm SHORTY NECK FINISH;n
PN005657_00;N000051_86;28,50;3,80;24,70;119,50;2,56;26,40;25,70;2,25;34,00;0,00;28,00;33,00;21,74;17,00;1;Reverse;10,50;250;48;28mm PCO 1881;n
PN010185_00;N000264_34;28,30;3,80;24,50;122,00;2,73;24,46;25,50;2,18;43,00;43,00;28,00;33,00;21,74;17,00;1;Bell;12,80;160;60;28mm PCO 1881 ISBT-21;n
PN009174_00;N000264_71;28,00;3,80;24,20;110,82;2,95;25,50;25,50;2,17;22,00;25,50;28,00;33,00;21,74;17,00;1;Straight;13,50;500;180;28mm PCO 1881;n
PN008766_00;N000034_21;28,00;3,84;24,16;96,00;3,21;25,00;35,00;2,25;18,00;33,57;38,00;41,00;31,60;12,25;1;Bell;12,20;250;72;38 mm NECK FINISH;n
PN005976_00;N000006_45;28,00;3,05;24,95;103,00;3,54;24,00;24,20;3,19;17,50;0,00;29,00;30,50;20,80;12,50;0;Bell;11,70;250;96;NECK FINISH FOR EDIBLE OIL;n
PN003258_02;N000140_58;28,00;5,00;23,00;104,50;3,24;25,08;25,70;2,59;30,00;0,00;28,00;33,00;21,74;21,00;1;Bell;12,30;500;128;28mm PCO 1810;n
PN010068_01;N000218_00;27,70;2,05;25,65;117,00;3,02;23,98;24,25;2,42;38,00;23,97;26,00;29,25;21,74;12,00;1;Bell;14,50;160;60;26mm GRAVITY 2;n
PN010176_00;N000218_00;27,70;2,05;25,65;117,00;2,95;24,46;24,25;2,34;38,00;24,44;26,00;29,25;21,74;12,00;1;Reverse;14,40;160;60;26mm GRAVITY 2;n
PN010185_02;N000264_34;27,50;3,80;23,70;122,00;2,62;24,46;25,50;2,10;43,00;43,00;28,00;33,00;21,74;17,00;1;Bell;12,50;160;60;28mm PCO 1881 ISBT-21;n
PN010139_00;N000114_05;27,50;2,40;25,10;109,00;3,17;24,57;28,00;2,47;17,60;27,58;29,00;32,50;25,10;12,60;3;Bell;11,90;250;72;29/25mm SHORTY NECK FINISH;n
PN009585_01;N000004_08;27,44;5,95;21,49;62,99;3,62;34,03;58,20;2,65;11,30;62,06;63,00;62,06;56,68;11,99;1;Bell;17,70;500;48;M63 SP400 NECK FINISH;n
PN010346_00;N000311_48;27,30;2,71;24,59;125,00;2,52;25,20;25,20;2,14;20,06;25,20;26,00;32,10;21,74;15,06;1;Straight;10,20;350;128;26/22 mm;n
PN003605_01;N000013_86;27,00;5,00;22,00;107,00;2,88;25,80;25,50;2,30;36,50;25,79;28,00;33,00;21,74;21,00;1;Reverse;12,10;500;128;28mm PCO 1810;n
PN005877_00;N000114_29;26,80;2,50;24,30;115,00;2,82;25,26;27,50;2,25;17,60;0,00;29,00;34,00;25,10;12,60;3;Bell;10,20;250;72;29/25mm SHORTY NECK FINISH;n
PN007071_00;N000003_24;26,70;3,20;23,50;117,00;2,52;26,80;28,00;2,07;23,50;0,00;30,00;34,00;25,10;18,50;3;Bell;12,20;500;128;30/25 mm NECK FINISH LIGHT VER. 24;n
PN005868_00;N000051_86;26,70;3,80;22,90;96,50;4,05;22,80;25,50;3,20;22,00;0,00;28,00;33,00;21,74;17,00;1;Bell;12,90;500;144;28mm PCO 1881;n
