commessa;model;matricola;region;country;branch;customer;yearmachine;yearstp;codmould;codbottle;LITRI
0L049;SFL 6/6;2039;NA - North America;STATIUNITI;SIPA NORTH AMERICA;AMCOR RIGID PLASTICS;2011;2021;20441949/02;C201169_01;1,75
0L518;SFL 6/6 EVO N MIDDLE SHELL;3064;SA4 - Andina Region & Caribe;GUATEMALA;SIPA MEXICO & ANDINA;PLASTICOS MAXIMOS S.A.;2021;2021;10076090/00;C008808_03;0,2
0L485;SFL EVO 6/6 XXL;2997;ME - Middle East;KUWAIT;SIPA MIDDLE EAST;KUWAIT FLOUR MILLS & BAKERIES CO.,S.A.K.C.;2024;2021;10076007;C008861_01;1,8
0L532;SFL EVO 4/4 X;3082;SA2 - Brazil;BRASILE;SIPA SOUTH AMERICA;QUIMICA AMPARO LTDA;2022;2021;10076087/00;C007106_01;1
0L531;SFL EVO 4/4 X;3081;SA2 - Brazil;BRASILE;SIPA SOUTH AMERICA;QUIMICA AMPARO LTDA;2022;2021;10076071/00;C007106_01;1
0R280;XTRA 6;2973;E1 - West Europe;ITALIA;SIPA WEST EUROPE;CASA OLEARIA ITALIANA SPA;2021;2021;10074570/02;C008784_01;1
0R296;XTRA 20;2882;E2 - North Europe;GERMANIA;SIPA WEST EUROPE;Coca-Cola Europacific Partners Deutschland GmbH;2021;2021;10076061/00;C008746_03;0,5
0L472;SFL EVO 6/6 N;2969;NA - North America;STATIUNITI;SIPA NORTH AMERICA;MELALEUCA INC;2021;2021;10076000;C201124_02;2,4 Oz
0R273;SFR 6 EVO 3;2938;AF2 - Central Africa;MAURITANIA;SIPA NORTH AFRICA;TAYBA EAU MINERALE;2022;2021;10076009/00;C008870_00;0,33
0L495;SFL 4/2 XL;3021;AF3 - South Africa;SUDAFRICA;SIPA SOUTH AFRICA;NORMANDIEN FARMS (PTY) LTD.;2020;2021;31076372/00;C008567_02;5
0L535;SF 1S CIBLAB;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2021;10075993/00;C008848_03;0,5
0L049;SFL 6/6;2039;NA - North America;STATIUNITI;SIPA NORTH AMERICA;AMCOR RIGID PLASTICS;2011;2021;10075339;C201165_00;1,5
0R273;SFR 6 EVO3;2938;AF2 - Central Africa;MAURITANIA;SIPA NORTH AFRICA;TAYBA EAU MINERALE;2022;2021;10075883/00;C007688_00;0,75
0L004;SFL 4/3 XL;1962;NA - North America;STATIUNITI;SIPA NORTH AMERICA;LOGOPLASTE USA INC.;2009;2021;20444037;C201175_00;0,35
0L535;SFL 1 S CIBLAB;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2021;10075804/00;C008858_00;0,6
0L529;SFL EVO 4/4 X;3079;SA2 - Brazil;BRASILE;SIPA SOUTH AMERICA;QUIMICA AMPARO LTDA;2022;2021;10075879/00;C008395_00;0,5
0L170;SFL 6/6;2313;E1 - West Europe;ITALIA;SIPA WEST EUROPE;LOGOPLASTE POMEZIA SRL;2014;2021;10075803/00;C007331_00;0,6
0L535;SFL 4/3 XL EVO X;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2021;20443628/00;C008858_00;0,6
0L529;SFL EVO 4/4;3079;SA2 - Brazil;BRASILE;SIPA SOUTH AMERICA;QUIMICA AMPARO LTDA;2022;2021;10075825;C008452_01;1,5
0R177;SFR 24 EVO 3 SIN;2578;FE2 - Rest of Far East & Oceania;MYANMAR(BIRMANIA);SIPA FAR EAST;S.S. L COMPANY LIMITED;2018;2021;10114764_00;C006914_01;0,25
0R292;XTRA 10;3028;E1 - West Europe;SPAGNA;SIPA WEST EUROPE;AGUAS DEL MARQUESADO S.L.;2021;2021;10075732;C008863_00;1,5
0L049;SFL 6/6;2039;NA - North America;STATIUNITI;SIPA NORTH AMERICA;AMCOR RIGID PLASTICS;2011;2021;10075712/00;C201159_00;1,75
0R161;SFR 16 EVO 3 SIN;2477;SA1 - Mexico;MEXICO;SIPA MEXICO & ANDINA;BEBIDAS PURIFICADAS;2016;2021;10075726;C008771_02;0,85
0R294;XTRA 20 HF;3036;AF2 - Central Africa;ZAMBIA;SIPA SOUTH AFRICA;BIG TREE BEVERAGES LIMITED;2022;2021;10075445;C008515_01;0,33
0R291;XTRA 10;3027;E1 - West Europe;ITALIA;SIPA WEST EUROPE;SORGENTI CLAVDIA S.R.L.;2021;2021;10075399/00;C008801_01;1,5
0L411;SFL 6/6 EVO;2822;E2 - North Europe;ISRAELE;SIPA WEST EUROPE;SODASTREAM INDUSTRIES LTD.;2022;2021;10075531/00;C007956_02;0,5
0L411;SFL 6/6 EVO;2822;E2 - North Europe;ISRAELE;SIPA WEST EUROPE;SODASTREAM INDUSTRIES LTD.;2022;2021;10075440/00;C008098_04;1
0R259;XTRA 12;2874;E1 - West Europe;ITALIA;SIPA WEST EUROPE;S.E.M. SORGENTI EMILIANE MODENA S.P.A;2021;2021;10075336/00;C008772_01;1,5
0L431;SFL 4/2 XL;2856;SA1 - Mexico;MEXICO;SIPA MEXICO & ANDINA;PLASTICOS INDUSTRIALES DE MONTERREY;2021;2021;10075296/00;C008866_00;10
0L411;SFL 6/6 EVO;2822;E2 - North Europe;ISRAELE;SIPA WEST EUROPE;SODASTREAM INDUSTRIES LTD.;2022;2021;10075346/00;C008715_00;1
0R289;XTRA 10;3016;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;MOUNTAIN WATER - COMERCIALIZACAO DE AGUA, S.A.;2020;2021;10070973/02;C008280_02;0,5
0L534;SFL 4/4 EVO XL N;3084;NA - North America;STATIUNITI;SIPA NORTH AMERICA;PARKER PLASTICS INC;2021;2021;10075246/00;C008844_01;16 Oz
0L004;SFL 4/3 XL;1962;NA - North America;STATIUNITI;SIPA NORTH AMERICA;LOGOPLASTE USA INC.;2009;2021;10075299/00;C201171_00;0,05
0L238;SFL 1 XL;2491;SA2 - Brazil;BRASILE;SIPA SOUTH AMERICA;AMBEV S.A. - F. JAGUARIUNA;2019;2021;10075007;C008537_01;6
0L517;SFL EVO 6/8 N;3063;CA - Turkey;UZBEKISTAN;SIPA RUSSIA;NAVRUZ INTERNATIONAL CORP. LLC;2021;2021;10075208/00;C008851_00;0,5
0L505;SFL 4/4 WM;3043;NA - North America;STATIUNITI;SIPA NORTH AMERICA;GRAHAM PACKAGING LC, LP;2022;2021;10075203/00;C008610_02;16 OZ
0L505;SFL 4/4 WM;3043;NA - North America;STATIUNITI;SIPA NORTH AMERICA;GRAHAM PACKAGING LC, LP;2022;2021;10072323/00;C008610_02;16 OZ
0L049;SFL 6/6;2039;NA - North America;STATIUNITI;SIPA NORTH AMERICA;AMCOR RIGID PLASTICS;2011;2021;10074913;C201169_01;1,75
